"PMV","PPD [%]","SET [oC]","TO [oC]"
-0.3,7,23.8,25.5
-2.31,89,20.8,22.1
0.51,10,28.2,25.5
-0.14,5,25.5,21.4
1.23,37,30.5,27.5
-0.42,9,25,23.78
-1.77,65,22.7,23.3
-0.49,10,22.3,24.74
-0.89,22,23.6,23.4
1.61,57,32.8,28.1
1.01,27,29.9,25.7
-1.26,38,23.4,23.18
0.87,21,29.9,26.6
-0.88,21,23.1,24.1
-1.04,28,23.3,22.46
1.02,27,30.4,27.3
-2.77,98,18.8,22.42
-1.23,37,21.1,23.98
-0.92,23,23.9,25.1
-1.77,65,22.5,23.3
