"PMV","PPD [%]","SET [oC]","TO [oC]"
1.56,54,31.4,29.9
1.05,28,29.4,28.1
0.56,12,28.3,27.32
0.28,7,25.8,26.4
-0.52,11,25.3,23.2
0.74,17,29.1,24.8
-0.42,9,24.8,27.18
0.03,5,25.9,26.6
-0.29,7,24.2,22.26
1.54,53,31.1,28.7
-2.13,82,22.2,22.8
-0.76,17,24.1,22.2
-0.45,9,23.9,20.5
-1.93,74,21.3,22.7
-1.21,36,24.6,24.9
-0.43,9,26.1,23.8
-0.99,26,23,25.84
-1.44,48,24.1,24.3
-0.42,9,24.7,24.26
-0.49,10,25.2,25.18
