PMV,PPD,SET,To inferior,To superior,People HeatGain,TO
0.366660162,7.798494004,26.90105438,22.1075058,25.33588409,1738.5,24.90376446
0.391640279,8.195060718,27.01740265,22.19905853,25.44460297,1738.5,25.11569763
0.424868552,8.763916628,27.18334198,22.23968506,25.49037933,1738.5,25.29516657
0.466851478,9.550402007,27.38170624,22.25513458,25.50983429,1738.5,25.4707444
0.515024031,10.54641514,27.62393951,22.21851349,25.46749115,1303.875,25.6026558
0.553130148,11.40538371,27.83565521,22.14813232,25.38223267,869.25,25.65073779
0.568147912,11.76119295,27.89669037,22.16644287,25.40969849,1303.875,25.73320745
0.668125702,14.37933192,28.28388214,22.19905853,25.44574738,1738.5,26.08529252
0.773930035,17.62083691,28.72829437,22.18875885,25.43373108,1738.5,26.41032657
0.865647605,20.81659756,29.11167145,22.17731476,25.42114258,1738.5,26.67871038
0.881882609,21.41884092,29.19178009,22.17674255,25.41942596,1738.5,26.74122436
0.765677721,17.35073429,28.6863327,22.24197388,25.49724579,1738.5,26.48535653
0.35167271,7.573332528,26.83620453,22.11093903,25.34046173,1738.5,24.86234341
0.407654283,8.463312281,27.10132599,22.16186523,25.40283203,1738.5,25.12731551
0.453936624,9.300389138,27.33592987,22.17731476,25.42114258,1738.5,25.32245485
0.502703007,10.28212678,27.5762558,22.1830368,25.4234314,1738.5,25.50984261
0.551790852,11.3741273,27.81848907,22.15957642,25.39825439,1303.875,25.65576676
0.596731025,12.46543206,28.04737091,22.11151123,25.34046173,869.25,25.75009005
0.800825947,18.52126291,28.91712189,22.07946777,25.30155182,1303.875,26.31002755
1.023890253,27.13631756,29.9413681,22.0457077,25.26378632,1738.5,26.92942152
1.08818141,29.97601686,30.24749756,22.04284668,25.26035309,1738.5,27.14580335
0.98862666,25.64322639,29.70676422,22.11894989,25.35076141,1738.5,26.98993664
0.865719812,20.81925206,29.09069061,22.22995758,25.48007965,1738.5,26.77930281
0.910613935,22.51107297,29.25662994,22.22995758,25.48007965,1738.5,26.90482364
0.462924893,9.473629085,27.41031647,22.06802368,25.28781891,1738.5,25.20623266
0.469743219,9.607366322,27.41413116,22.18761444,25.43029785,1738.5,25.39465624
0.510400426,10.44646844,27.61058807,22.1950531,25.43888092,1738.5,25.55592287
0.558283881,11.52638657,27.83374786,22.18761444,25.43315887,1738.5,25.71755791
0.582009798,12.09829878,27.96154022,22.17731476,25.42171478,1303.875,25.79928032
0.579007321,12.02457452,27.92720795,22.21736908,25.46520233,869.25,25.83694695
0.710600356,15.62271165,28.45935822,22.18475342,25.42743683,1303.875,26.19477467
1.051831525,28.35221141,30.03101349,22.06802368,25.28781891,1738.5,27.04700921
