PMV,PPD,SET,To inferior,To superior,People HeatGain,TO
-0.21,5.914655354,24.51,24.25,27.43,1134,25.50120605
-0.29,6.747175251,24.38,24.52,27.75,1134,25.52738745
-0.28,6.628380675,24.43,24.5,27.73,1134,25.56936506
-0.26,6.403440292,24.5,24.45,27.68,1134,25.61535496
-0.23,6.097580664,24.56,24.39,27.59,850.5,25.62978683
-0.2,5.829474146,24.59,24.3,27.47,567,25.61336466
-0.19,5.748475151,24.62,24.3,27.48,850.5,25.63379242
-0.18,5.671654488,24.69,24.3,27.48,1134,25.70478884
-0.12,5.298278468,24.85,24.28,27.45,1134,25.84426983
-0.07,5.101454718,25.01,24.29,27.46,1134,25.99451085
-0.06,5.074533828,25.07,24.31,27.48,1134,26.06441884
-0.12,5.298278468,24.94,24.35,27.57,1134,25.97860013
-0.27,6.513803962,24.21,24.19,27.34,1134,25.17427
-0.31,6.997437642,24.19,24.38,27.61,1134,25.26931567
-0.29,6.747175251,24.27,24.38,27.59,1134,25.34183038
-0.26,6.403440292,24.37,24.34,27.53,1134,25.41260157
-0.24,6.195333231,24.43,24.29,27.46,850.5,25.44774965
-0.23,6.097580664,24.44,24.26,27.44,567,25.45123005
-0.19,5.748475151,24.54,24.21,27.38,850.5,25.50323897
0,5,25.05,24.18,27.3,1134,25.94713636
0.07,5.101454718,25.29,24.15,27.28,1134,26.15816475
-0.01,5.002070059,25.12,24.21,27.36,1134,26.0565191
-0.13,5.350101518,24.88,24.32,27.5,1134,25.8976128
-0.07,5.101454718,25.05,24.31,27.5,1134,26.04688744
-0.18,5.671654488,24.52,24.12,27.23,1134,25.43520787
-0.26,6.403440292,24.42,24.39,27.59,1134,25.49308445
-0.24,6.195333231,24.49,24.38,27.59,1134,25.54845849
-0.22,6.004022804,24.56,24.35,27.55,1134,25.60403872
-0.21,5.914655354,24.58,24.33,27.51,850.5,25.62238558
-0.22,6.004022804,24.56,24.36,27.56,567,25.613757
-0.2,5.829474146,24.62,24.3,27.48,850.5,25.64722216
0.05,5.051757054,25.26,24.2,27.36,1134,26.17043768
0.21,5.914655354,25.84,24.11,27.23,1134,26.59380796
0.21,5.914655354,25.89,24.13,27.26,1134,26.65967837
0.09,5.167734788,25.52,24.23,27.4,1134,26.45678171
0.06,5.074533828,25.43,24.32,27.5,1134,26.42663367
-0.18,5.671654488,24.56,24.15,27.29,1134,25.49812636
-0.25,6.297284929,24.48,24.39,27.6,1134,25.54862202
-0.24,6.195333231,24.52,24.41,27.6,1134,25.59792695
-0.22,6.004022804,24.59,24.36,27.58,1134,25.64844414
-0.21,5.914655354,24.62,24.36,27.56,850.5,25.66522104
-0.21,5.914655354,24.61,24.33,27.53,567,25.6512327
-0.18,5.671654488,24.67,24.28,27.45,850.5,25.67501947
-0.02,5.008280349,25.08,24.26,27.42,1134,26.0344569
0.03,5.018631203,25.26,24.24,27.38,1134,26.1933027
0.01,5.002070059,25.23,24.27,27.46,1134,26.19397169
0,5,25.25,24.31,27.48,1134,26.23673303
-0.02,5.008280349,25.22,24.34,27.52,1134,26.22766717
-0.2,5.829474146,24.5,24.2,27.35,1134,25.46675891
-0.27,6.513803962,24.42,24.45,27.66,1134,25.52239539
-0.25,6.297284929,24.48,24.42,27.63,1134,25.57749148
-0.23,6.097580664,24.56,24.37,27.58,1134,25.63134887
-0.22,6.004022804,24.58,24.39,27.59,850.5,25.65008592
-0.24,6.195333231,24.55,24.42,27.65,567,25.63846263
-0.22,6.004022804,24.59,24.39,27.59,850.5,25.66261776
-0.16,5.530533414,24.74,24.33,27.52,1134,25.76863923
-0.07,5.101454718,24.99,24.3,27.47,1134,25.97629485
-0.04,5.033123179,25.09,24.32,27.49,1134,26.08117479
0,5,25.23,24.31,27.47,1134,26.21036803
0.02,5.008280349,25.3,24.31,27.48,1134,26.29157634
-0.11,5.250611277,24.85,24.14,27.31,1134,25.77407582
-0.2,5.829474146,24.69,24.43,27.64,1134,25.77244187
-0.19,5.748475151,24.74,24.4,27.6,1134,25.80572147
-0.16,5.530533414,24.8,24.36,27.53,1134,25.84155754
-0.16,5.530533414,24.81,24.34,27.53,850.5,25.84859755
-0.14,5.40608309,24.83,24.28,27.45,567,25.83507672
0,5,25.18,24.24,27.38,850.5,26.12127195
0.12,5.298278468,25.59,24.24,27.4,1134,26.50007795
0.14,5.40608309,25.67,24.27,27.43,1134,26.60718207
0.16,5.530533414,25.78,24.29,27.45,1134,26.73552782
0.18,5.671654488,25.85,24.24,27.38,1134,26.75638471
-0.05,5.051757054,25.27,24.41,27.63,1134,26.32685281
-0.19,5.748475151,24.57,24.22,27.35,1134,25.54202405
-0.26,6.403440292,24.47,24.45,27.68,1134,25.57698775
-0.25,6.297284929,24.52,24.46,27.66,1134,25.62612783
-0.23,6.097580664,24.59,24.43,27.62,1134,25.67600121
-0.21,5.914655354,24.62,24.39,27.59,850.5,25.69065734
-0.23,6.097580664,24.57,24.44,27.65,567,25.66623198
-0.22,6.004022804,24.61,24.4,27.61,850.5,25.68019092
-0.19,5.748475151,24.69,24.36,27.56,1134,25.73512738
-0.18,5.671654488,24.74,24.36,27.56,1134,25.78605374
-0.17,5.599008431,24.78,24.35,27.57,1134,25.83056066
-0.17,5.599008431,24.8,24.41,27.6,1134,25.8670734
-0.18,5.671654488,24.81,24.43,27.65,1134,25.89305915
-0.4,8.333726161,23.69,24.15,27.28,1134,24.63973829
-0.42,8.677611196,23.72,24.39,27.56,1134,24.79362108
-0.41,8.503527106,23.81,24.41,27.63,1134,24.90937655
-0.39,8.168203493,23.91,24.41,27.63,1134,25.01285019
-0.38,8.00695416,23.96,24.46,27.68,850.5,25.07537896
-0.39,8.168203493,23.96,24.5,27.72,567,25.09790695
-0.38,8.00695416,24,24.52,27.75,850.5,25.1485173
-0.36,7.697255433,24.08,24.53,27.78,1134,25.23235917
-0.34,7.404589468,24.16,24.51,27.73,1134,25.30845374
-0.34,7.404589468,24.21,24.54,27.79,1134,25.37089076
-0.33,7.264631012,24.25,24.55,27.81,1134,25.42181272
-0.32,7.128915432,24.3,24.53,27.8,1134,25.46155819
-0.54,11.10230831,23.16,24.24,27.39,1134,24.16286127
-0.52,10.65501193,23.29,24.33,27.52,1134,24.34211941
-0.5,10.22502455,23.4,24.36,27.55,1134,24.47433442
-0.48,9.812321142,23.5,24.39,27.61,1134,24.59485033
-0.48,9.812321142,23.56,24.44,27.66,850.5,24.67457825
-0.47,9.612442056,23.59,24.46,27.68,567,24.71365139
-0.44,9.038647818,23.68,24.43,27.63,850.5,24.78223743
-0.4,8.333726161,23.82,24.37,27.55,1134,24.8863619
-0.39,8.168203493,23.9,24.39,27.61,1134,24.98542286
-0.38,8.00695416,23.95,24.45,27.68,1134,25.07264906
-0.37,7.849973157,24.02,24.49,27.73,1134,25.14883942
-0.36,7.697255433,24.08,24.48,27.73,1134,25.21415143
-0.43,8.855983209,23.5,24.09,27.19,1134,24.40920609
-0.46,9.4168729,23.52,24.32,27.5,1134,24.5608033
-0.46,9.4168729,23.6,24.37,27.58,1134,24.68230853
-0.44,9.038647818,23.7,24.41,27.61,1134,24.79354648
-0.41,8.503527106,23.78,24.38,27.62,850.5,24.86434381
-0.42,8.677611196,23.79,24.42,27.65,567,24.89609241
-0.41,8.503527106,23.84,24.46,27.67,850.5,24.95843318
-0.38,8.00695416,23.95,24.43,27.66,1134,25.05532966
-0.36,7.697255433,24.04,24.42,27.65,1134,25.14683086
-0.34,7.404589468,24.12,24.42,27.65,1134,25.22627521
-0.31,6.997437642,24.22,24.37,27.59,1134,25.29346536
-0.29,6.747175251,24.28,24.38,27.58,1134,25.34991636
-0.43,8.855983209,23.6,24.22,27.35,1134,24.58438536
-0.46,9.4168729,23.63,24.43,27.63,1134,24.72863768
