PMV,PPD,SET,To inferior,To superior,People HeatGain,TO
0.66,14.15035754,29.58,17.4,22.43,1379.2,23.15432135
0.9,22.10366856,31.79,17.13,22.11,1379.2,23.91906993
0.98,25.28516049,32.28,17.13,22.11,1379.2,24.29691039
1.02,26.96930872,32.5,17.13,22.11,1379.2,24.53619159
1.05,28.27163923,32.68,17.13,22.11,1034.4,24.73069971
1.07,29.15798964,32.79,17.13,22.11,689.6,24.84537283
1.09,30.05847259,32.9,17.17,22.1,1034.4,24.97681053
1.1,30.51390792,32.8,17.19,22.16,1379.2,25.08596168
1.11,30.97274678,32.68,17.26,22.23,1379.2,25.22230258
1.1,30.51390792,32.5,17.29,22.31,1379.2,25.32267991
1.1,30.51390792,32.33,17.36,22.37,1379.2,25.3762631
1.09,30.05847259,32.23,17.39,22.43,1379.2,25.41264582
0.81,18.8354045,30.85,17.27,22.24,1379.2,23.65931119
0.98,25.28516049,32.3,17.13,22.11,1379.2,24.31595424
1.02,26.96930872,32.52,17.13,22.11,1379.2,24.55364789
1.06,28.71302734,32.72,17.13,22.11,1379.2,24.77437702
1.09,30.05847259,32.89,17.15,22.13,1034.4,24.96819523
1.1,30.51390792,32.79,17.18,22.15,689.6,25.08346761
1.09,30.05847259,32.58,17.27,22.24,1034.4,25.1791117
1.1,30.51390792,32.49,17.28,22.29,1379.2,25.2536986
1.1,30.51390792,32.37,17.32,22.33,1379.2,25.37928803
1.1,30.51390792,32.18,17.38,22.42,1379.2,25.46625604
1.09,30.05847259,32.03,17.42,22.5,1379.2,25.50117301
1.09,30.05847259,31.97,17.44,22.51,1379.2,25.52354931
0.82,19.18187263,30.66,17.37,22.41,1379.2,23.91682824
1.01,26.54259979,32.45,17.13,22.11,1379.2,24.48540648
1.05,28.27163923,32.66,17.13,22.11,1379.2,24.70953392
1.09,30.05847259,32.88,17.13,22.11,1379.2,24.94263877
1.11,30.97274678,32.9,17.17,22.13,1034.4,25.14610583
1.09,30.05847259,32.41,17.29,22.32,689.6,25.2762699
1.08,29.6064854,32.03,17.4,22.44,1034.4,25.39795555
1.08,29.6064854,31.91,17.43,22.52,1379.2,25.50018546
1.09,30.05847259,31.85,17.46,22.6,1379.2,25.63189028
1.09,30.05847259,31.76,17.52,22.64,1379.2,25.70578597
1.08,29.6064854,31.69,17.55,22.64,1379.2,25.71743098
1.08,29.6064854,31.7,17.5,22.64,1379.2,25.69017171
0.75,16.8456067,30.18,17.38,22.45,1379.2,23.6211637
0.98,25.28516049,32.29,17.13,22.11,1379.2,24.31364695
1.02,26.96930872,32.52,17.13,22.11,1379.2,24.55790364
1.06,28.71302734,32.76,17.13,22.11,1379.2,24.81176
1.1,30.51390792,32.9,17.18,22.13,1034.4,25.02860095
1.09,30.05847259,32.58,17.24,22.22,689.6,25.17941527
1.08,29.6064854,32.19,17.36,22.39,1034.4,25.32281832
1.08,29.6064854,32.01,17.42,22.47,1379.2,25.44557686
1.09,30.05847259,31.89,17.48,22.54,1379.2,25.56925787
1.09,30.05847259,31.76,17.49,22.62,1379.2,25.7063704
1.09,30.05847259,31.66,17.58,22.68,1379.2,25.76874873
1.08,29.6064854,31.63,17.56,22.68,1379.2,25.75968263
0.78,17.82136254,30.45,17.36,22.38,1379.2,23.68890377
0.98,25.28516049,32.32,17.13,22.11,1379.2,24.3373823
1.02,26.96930872,32.52,17.13,22.11,1379.2,24.55488897
1.06,28.71302734,32.71,17.13,22.11,1379.2,24.7596676
1.09,30.05847259,32.88,17.13,22.11,1034.4,24.94997915
1.1,30.51390792,32.9,17.19,22.14,689.6,25.06719965
