"PMV","PPD [%]","SET [oC]","TO [oC]","TO inferior [oC]","TO superior [oC]"
1.56,54,31.4,29.9,23.2,26.5
1.05,28,29.4,28.1,23.3,26.2
0.56,12,28.3,27.32,22.8,26.9
0.28,7,25.8,26.4,24,27.1
-0.52,11,25.3,23.2,23,26.2
0.74,17,29.1,24.8,19.8,23.8
-0.42,9,24.8,27.18,27,29.5
0.03,5,25.9,26.6,25.5,27.8
-0.29,7,24.2,22.26,21.4,26.1
1.54,53,31.1,28.7,20.4,24.5
-2.13,82,22.2,22.8,25.8,28.1
-0.76,17,24.1,22.2,23,26.2
-0.45,9,23.9,20.5,20.2,24.3
-1.93,74,21.3,22.7,26,28.4
-1.21,36,24.6,24.9,25.7,28
-0.43,9,26.1,23.8,23.1,26.3
-0.99,26,23,25.84,26.5,29.5
-1.44,48,24.1,24.3,25.6,27.8
-0.42,9,24.7,24.26,25,27.6
-0.49,10,25.2,25.18,25.1,28.5
