"i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","i21","i22","i23","i24","i25","i26","i27","i28","i29","i30","i31","i32","i33","i34","i35","i36","i37","PeopleLoad"
93.1,62.1,0,62.1,92.1,61.9,0,61.9,2905,1937,0,1937,2872,1931,0,1931,25.2,25.6,24.3,78536.7,53162.7,25374,7170,0,7170,4735,0,4735,5216.5,0,5216.5,3807.71435127454,0,3807.71435127454,14113,0,14113,1264.26666666667
27.4,0.2,0.2,0.4,24.5,0.2,0.2,0.4,854,5,5,10,763,5,6,11,9.3,9.2,9.4,28933.7,19133.9,9799.8,9,116,125,2,8,10,8.9,9,17.9,5.29916994234393,17.1779664039386,22.4771363462826,9,13,22,1039.5
97,64.1,0,64.1,96.4,63.5,0,63.5,3027,1999,0,1999,3007,1981,0,1981,18.1,13.7,26.9,56561.5,28455.6,28105.9,4600,0,4600,1780,0,1780,2777.2,0,2777.2,2723.57896546932,0,2723.57896546932,2718,0,2718,1401.58333333333
44.6,14,0,14,51.5,21.4,0.1,21.5,1392,437,1,438,1606,669,2,671,14,9.8,22.3,43616.4,20350.9,23265.5,2363,39,2402,462,0,462,578.8,2.9,581.7,1049.65888070781,2.13249623210215,1051.79137693992,544,1,545,1108.8
30.1,9.4,0.3,9.7,28.1,12,0.4,12.4,940,293,8,301,878,373,14,387,9.5,8.9,10.7,29610.2,18436,11174.2,739,52,791,319,8,327,472.2,14.1,486.3,830.213948631361,15.4481257486756,845.662074380037,514,24,538,1593.625
